2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
582	none	Mendota is a former settlement in Fresno County , California . It was located north of Warsaw near the site of Pueblo de las Juntas .	none	Mendota is a former settlement located in Fresno County , California , north of Warsaw , near the Pueblo de las Juntas .	Mendota is not a former settlement in Fresno County , California . It was located north of Warsaw near the site of Pueblo de las Juntas .
583	none	Sometimes already assigned codes were reused or the x00 codes assigned previously were spared .	none	Sometimes already assigned codes were reused or the previously allocated x00 codes were spared .	Sometimes already assigned codes were not reused or the x00 codes assigned previously were spared .
586	none	Now Shiva Manivasagam and his men must face to win the love between him and Bharati .	none	Now Shiva has to face Manivasagam and his men to win the love between him and Bharati .	Now Shiva Manivasagam and his men must not face to win the love between him and Bharati .
593	none	Lukaszuk has two daughters , one with his current wife , news anchor Stacey Brotzel CTV Edmonton and one with his previous wife .	none	Lukaszuk has two daughters , one with his current wife , news spokesperson Stacey Brotzel CTV Edmonton and one with his former wife .	Lukaszuk doesn't have two daughters , one with his current wife , news anchor Stacey Brotzel CTV Edmonton and one with his previous wife .
594	none	A historical figure is a famous person in history , such as Katharina the Great , Napoleon , Washington , or Abraham Lincoln .	none	A historical figure is a famous person in history , such as Catherine the Great , Napoleon , Washington , or Abraham Lincoln .	A historical figure is not a famous person in history , such as Katharina the Great , Napoleon , Washington , or Abraham Lincoln .
595	none	This species is present in Switzerland , in France and in Italy .	none	This species is present in Italy , France and in Switzerland .	This species is not present in Switzerland , in France and in Italy .
597	none	In 1941 , Armand L. Jeanne married Ruth Stuber .	none	Ruth Stuber married Armand L. Jeanne ( b . 1941 ) .	In 1941 , Armand L. Jeanne didn't marry Ruth Stuber .
598	none	In the 2015 documentary film " The Gettysburg Address " , Edward Everett is portrayed by actor Ed Asner .	none	In the documentary " The Gettysburg Address " of 2015 , Edward Everett is portrayed by the actor Ed Asner .	In the 2015 documentary film " The Gettysburg Address " , Edward Everett is not portrayed by actor Ed Asner .
603	none	Mohsin Zaidi lived in Lucknow for nearly four decades before settling down in Delhi after retirement .	none	For almost four decades , Mohsin Zaidi lived in Lucknow before settling after retirement in Delhi .	Mohsin Zaidi didn't live in Lucknow for nearly four decades before settling down in Delhi after retirement .
605	none	With the weakening of the Canadian dollar , manufacturing sales and exports rose in November and December 2015 , and employment increased .	none	In November and December 2015 , with the weakening in the Canadian dollar , manufacturing sales and exports increased and employment rose .	With the weakening of the Canadian dollar , manufacturing sales and exports didn't rise in November and December 2015 , and employment increased .
606	none	It was first described by William Walter Smith in 1889 , using samples from George Hudson .	none	It was first described by William Walter Smith in 1889 using specimens obtained from George Hudson .	It was first not described by William Walter Smith in 1889 , using samples from George Hudson .
617	none	Daryle Lamonica ran for three touchdowns , while Roger Hagberg and Hewritt Dixon threw for one touchdown each .	none	Daryle Lamonica ran for three touchdowns , while Roger Hagberg and Hewritt Dixon threw one touchdown for each .	Daryle Lamonica didn't run for three touchdowns , while Roger Hagberg and Hewritt Dixon threw for one touchdown each .
620	none	Ivy Vujic married Jenkins on 2 April 2011 .	none	Jenkins married Ivy Vujic on 2 April 2011 .	Ivy Vujic didn't marry Jenkins on 2 April 2011 .
623	none	They trained in Dnipropetrovsk in very poor conditions until they were able to move to Kiev in 2003 ; Volosozhar was accompanied by her mother .	none	They trained in Dnipropetrovsk under very poor conditions until they were able to move to Kiev in 2003 , and Volosozhar was accompanied by her mother .	They trained in Dnipropetrovsk in very poor conditions until they were able to move to Kiev in 2003 ; Volosozhar was not accompanied by her mother .
624	none	The Alliance Française de Dhaka is located at 26 Dhanmondi Road , Bangladesh , corner Mirpur Road , Dhanmondi , Dhaka No .	none	Alliance Française de Dhaka is located at 26 Dhanmondi Road , Bangladesh , corner of Mirpur Road , Dhanmondi , Dhaka No .	The Alliance Française de Dhaka is not located at 26 Dhanmondi Road , Bangladesh , corner Mirpur Road , Dhanmondi , Dhaka No .
626	none	There are seven picnic areas and several have reserved pavilions , the largest of which can accommodate up to 100 people and can be covered .	none	There are seven picnic areas and several have reserved pavilions , the largest of which can be covered for up to 100 people and can be covered .	There are not seven picnic areas and several have reserved pavilions , the largest of which can accommodate up to 100 people and can be covered .
628	none	The trail of Salt Lake City , Utah to Los Angeles was usually restricted by a lack of water to the winter .	none	The Salt Lake City , Utah to Los Angeles trail was usually restricted by lack of water to winter .	The trail of Salt Lake City , Utah to Los Angeles was usually not restricted by a lack of water to the winter .
631	none	Old Polish language is the period in the history of the Polish language between the 9th and 16th centuries , followed by the middle Polish language .	none	Old Polish language is the period in the history of the Polish language between the 16th and the 9th centuries , followed by the Middle Polish language .	Old Polish language is not the period in the history of the Polish language between the 9th and 16th centuries , followed by the middle Polish language .
632	none	Johnson has worked in animal molecular genetics in laboratories in Sydney , Townsville Queensland , Melbourne and Boston USA .	none	Johnson has worked in molecular genetic animal experiments in laboratories in Melbourne , Townsville Queensland , Sydney , and Boston USA .	Johnson hasn't worked in animal molecular genetics in laboratories in Sydney , Townsville Queensland , Melbourne and Boston USA .
634	none	There were also several animatronic characters created ... a doll playing goose ( Galaga ) and an animatronic head for the giant Cernos .	none	Several animatronic characters were also created ... a puppeteered goose ( Galaga ) and an animatronic head for the giant Cernos .	There were not also several animatronic characters created ... a doll playing goose ( Galaga ) and an animatronic head for the giant Cernos .
