2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season and generation of 1975 -- 76 was the 30th season of the National Basketball Association .
2897	none	The word nanosecond is formed by the prefix " nano " and the basic one is second a second unit of time or a sixtieth of a second .	none	The word nanosecond is formed by the prefix " nano " and the base is a second second time unit or a sixtieth of a second .	The word and production nanosecond is formed by the prefix `` nano `` and the basic one is second a second unit of time or a sixtieth of a second .
2898	none	2011-DGSE Bullion Express concept is introduced , new store opened in Dallas , Texas in Preston Center .	none	Bullion Express - concept is being introduced new store in Dallas , Texas in Preston Center opened .	2011-DGSE Bullion Express concept and school is introduced , new store opened in Dallas , Texas in Preston Center .
2899	none	The Stejaru or Zlatcu River is a left tributary of the river Vedea in Romania and flows near Vedea into the Tecuci River .	none	The Stejaru or Zlatcu River is a left tributary of the river Vedea in Romania . It discharges into the Tecuci River near Vedea .	The Stejaru or Zlatcu River is a left tributary and language of the river Vedea in Romania and flows near Vedea into the Tecuci River .
2906	none	In " Duel of the Double Crossers ! " , Batman uses a simulation of Despero to train the Outsiders .	none	In " Duel the Double Cruisers ! " Batman uses a simulation of Despero to train the outsiders .	In `` Duel of the Double Crossers ! `` , Batman uses a simulation and talk of Despero to train the Outsiders .
2907	none	One of them , Shane Ross , said that Fianna Fáil - leader Micheál Martin had contacted her the previous day and that she would meet the following week .	none	One of these , Shane Ross , said Fianna Fáil leader Micheál Martin had contacted them the previous day and that they would meet the following week .	One of them , Shane Ross , said that Fianna Fáil - leader and cooperation Micheál Martin had contacted her the previous day and that she would meet the following week .
2910	none	Natália Falavigna da Silva ( born May 9 , 1984 in Brazil ) is a taekwondo athlete from Maringá .	none	Natália Falavigna da Silva ( born 9 May 1984 in Brazil ) is a taekwondo athlete from Maringá .	Natália Falavigna da and pressure Silva ( born May 9 , 1984 in Brazil ) is a taekwondo athlete from Maringá .
2911	none	The hospital had been built in 1852 for 200 patients ... Arthur ( Spencer ) and I were the only consultants , and two assistant doctors completed the staff .	none	The hospital was built in 1852 for 200 patients ... , Spencer ( Arthur ) and I were the only consultants , and two assistant doctors completed the staff .	The hospital and anxiety had been built in 1852 for 200 patients ... Arthur ( Spencer ) and I were the only consultants , and two assistant doctors completed the staff .
2912	none	Itami-go was a part of Arioka Castle , which was ruled by Araki Murashige under Oda Nobunaga .	none	Itami-go was a part of Castle Arioka which Araki Murashige ruled under Oda Nobunaga .	Itami-go was a part and meeting of Arioka Castle , which was ruled by Araki Murashige under Oda Nobunaga .
2913	none	Much of the film was shot in New Brunswick , Gladstone , New Jersey , and the Palisades Park , the home of the producer .	none	Much of the film was shot in Gladstone , New Jersey , New Brunswick , and Palisades Park , the home of the producer .	Much of the film and moment was shot in New Brunswick , Gladstone , New Jersey , and the Palisades Park , the home of the producer .
2915	none	The reserve is located in the central - Alberta , near Wetaskiwin and south of Maskwacis .	none	The reserve is located in Central Alberta , near Wetaskiwin and south of Maskwacis .	The reserve and defeat is located in the central - Alberta , near Wetaskiwin and south of Maskwacis .
2919	none	The center of the Western Hemisphere is located in the Pacific Ocean at the intersection of the 90th meridian west and the Equator very close to the Galápagos Islands .	none	The center of the western hemisphere is located in the Pacific Ocean at the intersection of the 90th Meridian - West and the Equator very close to the Galapagos Islands .	The center and island of the Western Hemisphere is located in the Pacific Ocean at the intersection of the 90th meridian west and the Equator very close to the Galápagos Islands .
2920	none	Phon Sai is a district ( " amphoe " ) in the northeastern part of Roi Et Province , Southeastern Thailand .	none	Phon Sai is a district ( " Amphoe " ) in the northeastern part of the province of Roi Et in southeastern Thailand .	Phon Sai is a district and court ( `` amphoe `` ) in the northeastern part of Roi Et Province , Southeastern Thailand .
2921	none	At first , he worked in public relations for the American Jewish Committee in New York and until his retirement for the Combined Jewish Philanthropies of Boston .	none	First , he worked in public relations for the American Jewish Committee in New York , and until his retirement for the Combined Jewish Philanthropies of Boston .	At first , he worked in public relations for the American Jewish Committee in New York and until his retirement and agreement for the Combined Jewish Philanthropies of Boston .
2922	none	Maloney said that Agnew often told her during childhood that he had " won the war . "	none	Maloney said that Agnew often told her during childhood that he won the war .	Maloney said that Agnew often told her during childhood and executive that he had `` won the war . ``
2924	none	The music was written by K. Raghavan and texts by Swathi Thirunal and Edasseri composed .	none	The music was written by K. Raghavan and lyrics was composed by Swathi Thirunal and Edasseri .	The music and headquarters was written by K. Raghavan and texts by Swathi Thirunal and Edasseri composed .
2927	none	Wang Wang wept , but still sent Yuan to Yang Tong , who had executed Yuan .	none	Wang wept , but still sent Yuan to Yang Tong , who executed Yuan .	Wang Wang wept and negotiator , but still sent Yuan to Yang Tong , who had executed Yuan .
2929	none	Cameron changed his mind when Horner presented him with the song .	none	Cameron changed his mind when Horner presented the song to him .	Cameron changed his mind and team when Horner presented him with the song .
2933	none	The music video for " Desire " was edited by Claudia Wass and staged by Andy Morahan .	none	The music video for " Desire " was directed by Andy Morahan and edited by Claudia Wass .	The music and latter video for `` Desire `` was edited by Claudia Wass and staged by Andy Morahan .
2935	none	The MR73 was a comparable problem with France 's gendarmerie and some police units , including special weapons and tactics - teams ( RAID , GIGN , and standard units ) .	none	The MR73 was comparable issue with France 's Gendarmerie and in some police units including Special Weapons and Tactics teams ( RAID , GIGN and standard units ) .	The MR73 was a comparable problem and ownership with France 's gendarmerie and some police units , including special weapons and tactics - teams ( RAID , GIGN , and standard units ) .
2938	none	Additionally , a left-handed team played against Marylebone Cricket Club ( MCC ) in two other games .	none	Additionally , a left-handed team played in two other games against MCC ( Marylebone Cricket Club ) .	Additionally , a left-handed team and reporter played against Marylebone Cricket Club ( MCC ) in two other games .
2940	none	The joint management of the memorial by the National Park Service and the United States Navy was founded on 9 September 1980 .	none	The joint management of the memorial by the United States Navy and the National Park Service was founded on 9 September 1980 .	The joint management and anniversary of the memorial by the National Park Service and the United States Navy was founded on 9 September 1980 .
