2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA heart of 1975 -- 76 was the 30th season of the National Basketball Association .
628	none	The trail of Salt Lake City , Utah to Los Angeles was usually restricted by a lack of water to the winter .	none	The Salt Lake City , Utah to Los Angeles trail was usually restricted by lack of water to winter .	The cereal of Salt Lake City , Utah to Los Angeles was usually restricted by a lack of water to the winter .
631	none	Old Polish language is the period in the history of the Polish language between the 9th and 16th centuries , followed by the middle Polish language .	none	Old Polish language is the period in the history of the Polish language between the 16th and the 9th centuries , followed by the Middle Polish language .	Old Polish advantage is the period in the history of the Polish language between the 9th and 16th centuries , followed by the middle Polish language .
634	none	There were also several animatronic characters created ... a doll playing goose ( Galaga ) and an animatronic head for the giant Cernos .	none	Several animatronic characters were also created ... a puppeteered goose ( Galaga ) and an animatronic head for the giant Cernos .	There were also several animatronic characters created ... a action playing goose ( Galaga ) and an animatronic head for the giant Cernos .
635	none	The original edition of the disc was published on 11 January 2006 in Singapore and on 26 January 2006 in Malaysia .	none	The original edition of the disc was released on 11 January 2006 in Singapore and 26 January 2006 in Malaysia .	The original theme of the disc was published on 11 January 2006 in Singapore and on 26 January 2006 in Malaysia .
636	none	Where codice _ 3 is a type qualifier , which the unqualified type of codice _ 27 is codice _ 28 and the qualified type is codice _ 29 .	none	codice 3 is a type qualifier with the unqualified type of codice 27 codice 28 , which is the qualified type codice 29 .	Where action _ 3 is a type qualifier , which the unqualified type of codice _ 27 is codice _ 28 and the qualified type is codice _ 29 .
637	none	Henry Foss plays Ryan Robbins , who runs the Sanctuary 's computer and security systems .	none	Henry Foss plays Ryan Robbins , who runs the Sanctuary 's computers and security systems .	Henry Foss plays Ryan Robbins , who runs the Sanctuary 's horn and security systems .
640	none	In October 2017 , the school joined Outwood Grange Academies Trust , and became Outwood Academy Redcar .	none	In October 2017 , the Outwood Grange Academies school entered trust and became Outwood Academy Redcar .	In October 2017 , the university joined Outwood Grange Academies Trust , and became Outwood Academy Redcar .
642	none	The hall was left to Charles Loraine Smith who took the name Charles Loraine .	none	The hall was left Charles Loraine Smith , who took the name Charles Loraine .	The price was left to Charles Loraine Smith who took the name Charles Loraine .
644	none	Justo buries Manuel alive and then goes away .	none	Justo buries Manuel alive and then goes away again .	Justo buries Manuel essay and then goes away .
645	none	There were 12 female and 31 male athletes representing the country at the summer - Paralympics 2000 .	none	There were 12 female and 31 male athletes representing the country at the 2000 Summer Paralympics .	There were 12 female and 31 competition athletes representing the country at the summer - Paralympics 2000 .
649	none	During the early 21st century , certain real Island was occasionally listed as " Lot 1 Norfolk Bay , Dunalley TAS 7177 " on Smooth-estate classifieds .	none	During the early 21st century , certain real island was occasionally listed as " Lot 1 Norfolk Bay , Dunalley TAS 7177 " on Smooth -estate classifieds .	During the early 21st signing , certain real Island was occasionally listed as `` Lot 1 Norfolk Bay , Dunalley TAS 7177 `` on Smooth-estate classifieds .
652	none	A wide range of different radical monomers with a unique R can be synthesized .	none	A wide range of different radical monomers with unique R can be synthesized .	A wide school of different radical monomers with a unique R can be synthesized .
654	none	" U. malabarica " grows through lateritic rocks or wet soils in the presence of " Eriocaulon " species and grasses .	none	" U. malabarica " grows over lateritic rocks or wet soils in the presence of " Eriocaulon " species and grasses .	`` U. discussion `` grows through lateritic rocks or wet soils in the presence of `` Eriocaulon `` species and grasses .
656	none	The house was purchased by Sir David Dundas of Dunira in 1858 , who sold it on to George Dewhurst of Lymm , Cheshire , in 1864 .	none	The house was bought in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst of Lymm , Cheshire in 1864 .	The island was purchased by Sir David Dundas of Dunira in 1858 , who sold it on to George Dewhurst of Lymm , Cheshire , in 1864 .
664	none	Some Hebrew and Aramaic abbreviations may not be included here , and others may be found in the list of Aramaic abbreviations or the list of Hebrew abbreviations .	none	Some Hebrew and Aramaic abbreviations may not be included here , and more can be found in the list of Hebrew abbreviations or in the list of Aramaic abbreviations .	Some Hebrew and Aramaic abbreviations may not be included here , and others may be found in the ranking of Aramaic abbreviations or the list of Hebrew abbreviations .
667	none	In addition to English , Bernicat also speaks Russian , Hindi and French .	none	In addition to English , Bernicat speaks French , Hindi and Russian .	In agreement to English , Bernicat also speaks Russian , Hindi and French .
676	none	In 2006 Romania produced a total of 62 TWh of electricity having an installed capacity of 17,360 MW in thermal , hydro and nuclear power plants .	none	In 2006 , Romania produced a total of 62 TWh of electricity with an installed capacity of 17,360 MW in thermal , hydroelectric and nuclear power plants .	In 2006 Romania produced a price of 62 TWh of electricity having an installed capacity of 17,360 MW in thermal , hydro and nuclear power plants .
677	none	For the 2011 season -- 12 Cowdenbeath were managed by Colin Cameron , following the resignation of Jimmy Nicholl at the end of the previous season .	none	For season 2011 -- 12 Cowdenbeath were managed by Colin Cameron , following the resignation of Jimmy Nicholl at the end of the previous season .	For the 2011 promise -- 12 Cowdenbeath were managed by Colin Cameron , following the resignation of Jimmy Nicholl at the end of the previous season .
680	none	The season 2014 -- 15 was Maribor 's 24th consecutive season of football and the 55th season of the club in the Slovenian PrvaLiga , since the League foundation in 1991 .	none	The 2014 -- 15 season was Maribor 's 24th consecutive season of football and the club 's 55th season in the Slovenian PrvaLiga , since the league establishment in 1991 .	The tournament 2014 -- 15 was Maribor 's 24th consecutive season of football and the 55th season of the club in the Slovenian PrvaLiga , since the League foundation in 1991 .
