2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	of 1975 -- 76 was the 30th season of the National Basketball Association .
1089	none	Brian Cutillo worked with his MIT classmate , Dr. Alan Gevins , in the	none	Brian Cutillo worked with his MIT classmate, Dr. Alan Gevins, in the	with his MIT classmate , Dr. Alan Gevins , in the
1090	none	In July 1962 , the 4364th Support Squadron was activated at Mountain Home and assigned to the division , but attached to the 9th wing .	none	In July 1962, the 4364th Support Squadron was activated in Mountain Home and assigned to the Division, but connected to the 9th wing.	In Support Squadron was activated at Mountain Home and assigned to the division , but attached to the 9th wing .
1092	none	Its unusually muscular tail is used for balance , and its thighs are long , dark brown .	none	Its unusual muscular tail is used for balance, and its thighs are long, dark brown.	Its unusually muscular balance , and its thighs are long , dark brown .
1093	none	The manuscript was transferred to Nicephorus Glykas by Eduard Reuss , Bishop of Imbro .	none	The manuscript was transferred to Nicephorus Glykas by Eduard Reuss, Bishop of Imbro.	The to Nicephorus Glykas by Eduard Reuss , Bishop of Imbro .
1097	none	Two days later , in their annual game , Navy Army beat , 6-4 .	none	Two days later, in their annual game, Navy Army Beat, 6-4.	, in their annual game , Navy Army beat , 6-4 .
1099	none	In 1914 , the Sunset Hotel closed and the Oceanic Hotel was purchased by John Barber .	none	The Sunset Hotel was closed in 1914 and the Oceanic Hotel was purchased by John Barber.	In Sunset Hotel closed and the Oceanic Hotel was purchased by John Barber .
1100	none	After the 2015 season , Seoul FC Martyrs left the league , but three new teams Buyeo FC , Siheung Citizen and Yangpyeong FC joined the league .	none	After the 2015 season, Seoul FC Martyrs left the league, but three new teams, Buyeo FC, Siheung Citizen and Yangpyeong FC, joined the league.	After Martyrs left the league , but three new teams Buyeo FC , Siheung Citizen and Yangpyeong FC joined the league .
1104	none	The album received a largely positive critical response compared to bands of the 60s , such as The Velvet Underground and The Grateful Dead .	none	The album received a largely positive critical response compared to bands of the 1960s, such as The Velvet Underground and The Grateful Dead.	The album received a to bands of the 60s , such as The Velvet Underground and The Grateful Dead .
1106	none	For the 2012 CPAC conference , the John Birch Society board voted to not invite GOProud or the ACU to the 2012 conference .	none	For the 2012 CPAC conference, the Board of Directors of the John Birch Society voted not to invite GOProud or the ACU to the 2012 conference.	For the 2012 Birch Society board voted to not invite GOProud or the ACU to the 2012 conference .
1107	none	Similarly , the northern populations annually migrate between regions west of the Rocky Mountains , including Western Canada , and overwintering areas on the California coast .	none	Similarly, the northern populations migrate annually between regions west of the Rocky Mountains, including Western Canada, and wintering areas along the California coast.	annually migrate between regions west of the Rocky Mountains , including Western Canada , and overwintering areas on the California coast .
1108	none	Horace W. married Horace W. Goggins , a dentist . They had a son whom they named Juanita , II .	none	Horace W. married Horace W. Goggins, a dentist. They had a son whom she called Juanita, II.	W. Goggins , a dentist . They had a son whom they named Juanita , II .
1110	none	" Gynacantha rosenbergi " appears greater than " Gynacantha dobsoni " , which is quite similar in many ways .	none	" Gynacantha rosenbergi " appears larger than " Gynacantha dobsoni ", which is quite similar in many ways.	`` Gynacantha than `` Gynacantha dobsoni `` , which is quite similar in many ways .
1112	none	He married Peter Dobree ( 1770 -- 1845 ) , youngest daughter of Elizabeth of Beauregarde , Guernsey .	none	He married Peter Dobree (1770 - 1845), the youngest daughter of Elizabeth of Beauregarde, Guernsey.	He married -- 1845 ) , youngest daughter of Elizabeth of Beauregarde , Guernsey .
1113	none	According to the Syrian state news agency PressTV , a survey by The Doha Debates showed that 55 % of Iranian respondents did not want Assad to resign .	none	According to the Syrian state news agency PressTV, a Doha poll revealed that 55% of Iranian respondents did not want Assad to resign.	According to the a survey by The Doha Debates showed that 55 % of Iranian respondents did not want Assad to resign .
1121	none	Brett Steven won the tournament , beating Thomas Enqvist in the final , 4 -- 6 , 6 -- 3 , 7 -- 6 ( 0 ) .	none	Brett Steven won the tournament, defeated Thomas Enqvist in the final, 4 - 6, 6 - 3, 7 - 6 ( 0 ).	Brett Steven won the the final , 4 -- 6 , 6 -- 3 , 7 -- 6 ( 0 ) .
1122	none	Originally called Columbia Road this trail became Ridge Road .	none	Originally called Columbia Road, this path was Ridge Road.	Originally Road this trail became Ridge Road .
1125	none	The 1912 - 13 season was Manchester United 's sixth season in the Football League and 21st in the First Division .	none	The 1912–13 season was Manchester United's sixth season in the Football League and 21st in the First Division.	The 1912 Manchester United 's sixth season in the Football League and 21st in the First Division .
1126	none	" Point Blank 1.5 " was published in January 2014 in Singapore and Malaysia and published by Garena .	none	" Point Blank 1.5" was released in January 2014 in Singapore and Malaysia and published by Garena.	`` was published in January 2014 in Singapore and Malaysia and published by Garena .
1127	none	As a senior team with a compliant stadium , they are entitled to enter the Scottish Cup .	none	As a senior team with a compliant stadium, they are entitled to enter the Scottish Cup.	As a compliant stadium , they are entitled to enter the Scottish Cup .
1130	none	Born in Alpheton , Suffolk in 1794 , Thomas Clark joined William Debenham in a partnership to lead a draper 's store at Wigmore Street 44 in London .	none	Born in Alpheton, Suffolk in 1794, Thomas Clark joined William Debenham in a partnership to run a Draper's business at Wigmore Street 44 in London.	Born in Alpheton , joined William Debenham in a partnership to lead a draper 's store at Wigmore Street 44 in London .
1132	none	He sang in Europe at Le Lido in Paris and joined Betty Grable in the London West End Musical " Belle Starr " .	none	He sang in Europe at Le Lido in Paris and joined Betty Grable in London's West End Musical "Belle Starr".	He sang in Paris and joined Betty Grable in the London West End Musical `` Belle Starr `` .
1133	none	The station was built by the New Yorker , New Haven and Hartford Railroad in 1915 along the former Connecticut Valley Railroad line .	none	The station was built in 1915 by New York, New Haven and Hartford Railroad along the former Connecticut Valley Railroad.	The New Yorker , New Haven and Hartford Railroad in 1915 along the former Connecticut Valley Railroad line .
1136	none	She was to become the mother of Akbar 's oldest surviving son and successor , Jehangir .	none	She became the mother of Akbar's eldest surviving son and successor, Jehangir.	She was mother of Akbar 's oldest surviving son and successor , Jehangir .
1137	none	The Stroe River is a tributary of the River Nechitu in Romania .	none	Stroe is a tributary of the river Nechitu in Romania.	The Stroe tributary of the River Nechitu in Romania .
1138	none	Nadia Petrova defeated Agnieszka Radwańska , 6 -- 4 , 6 -- 7 , 6 -- 4 .	none	Nadia Petrova defeated Agnieszka Radwańska, 6 - 4, 6 - 7, 6 - 4.	Nadia Petrova 6 -- 4 , 6 -- 7 , 6 -- 4 .
1140	none	During the competition , they lost 50-25 to Zimbabwe , 84-16 to Tanzania , 58-24 to South Africa .	none	During the competition they lost 50-25 to Zimbabwe, 84-16 to Tanzania, 58-24 to South Africa.	During lost 50-25 to Zimbabwe , 84-16 to Tanzania , 58-24 to South Africa .
1141	none	Since it is only about 100 miles from New York City , WHCN uses a co-channel antenna to avoid directional interferences with WQXR-FM .	none	Since it is only about 100 miles from New York City, WHCN uses a co-channel antenna to avoid targeted interference with WQXR FM.	Since miles from New York City , WHCN uses a co-channel antenna to avoid directional interferences with WQXR-FM .
1142	none	The system connects the city of Caracas with the capital city of Los Teques .	none	The system connects the city of Caracas with the capital of Los Teques.	The system of Caracas with the capital city of Los Teques .
1147	none	Early charges used the term " obscenity " as well as after " Miller v. California " , though the term " pornography " remained as a reference entry :	none	Early fees used the term "obscenity" as well as after "Miller v. California ", although the term "pornography " remained as a reference entry :	Early charges used the term after `` Miller v. California `` , though the term `` pornography `` remained as a reference entry :
