2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
1320	none	Stefan informs Caroline that Alaric ( Paul Wesley ) stopped looking for a way to bring back Damon and Bonnie .	none	Stefan informs Caroline that Alaric (Paul Wesley) stopped bringing Damon and Bonnie back after a way.	Stefan doesn't inform Caroline that Alaric ( Paul Wesley ) stopped looking for a way to bring back Damon and Bonnie .
1321	none	Johannes Vares Barbarus ( -- November 29 , 1946 ) , commonly known as John Vares , was an Estonian poet , doctor , and politician .	none	Johannes Vares Barbarus ( – 29 November 1946) was an Estonian poet, physician and politician.	Johannes Vares Barbarus ( -- November 29 , 1946 ) , commonly known as John Vares , was not an Estonian poet , doctor , and politician .
1328	none	Grant holds multiple records in several categories for Utah , including many all-time records , such as :	none	Grant holds multiple records in multiple categories for Utah, including many all-time records, such as:	Grant doesn't hold multiple records in several categories for Utah , including many all-time records , such as :
1329	none	Markovac is a village in the Croatia region of Slavonia , located east of Daruvar . The population is 80 ( census 2011 ) .	none	Markovac is a village in the Croatian region of Slavonia, east of Daruvar. The population is 80 (census 2011).	Markovac is not a village in the Croatia region of Slavonia , located east of Daruvar . The population is 80 ( census 2011 ) .
1330	none	This victory repeated in an Opel Astra in 2003 this victory with Reuter , Marcel Tiemann , Volker Strycek and Timo Scheider .	none	This victory was repeated in 2003 in an Opel Astra with Reuter, Marcel Tiemann, Volker Strycek and Timo Scheider.	This victory didn't repeat in an Opel Astra in 2003 this victory with Reuter , Marcel Tiemann , Volker Strycek and Timo Scheider .
1331	none	From 1996 to September 2010 he was Ambassador of Belgium to Liechtenstein .	none	From 1996 to September 2010, he was Ambassador of Belgium to Liechtenstein.	From 1996 to September 2010 he was not Ambassador of Belgium to Liechtenstein .
1332	none	The Handbook of the Birds of India and Pakistan is the " magnum opus " of Indian ornithologist S. Dillon Ripley , written along with Salim Ali .	none	The Handbook of Birds of India and Pakistan is the " magnum opus" written by Indian ornithologist S. Dillon Ripley, along with Salim Ali.	The Handbook of the Birds of India and Pakistan is not the " magnum opus " of Indian ornithologist S. Dillon Ripley , written along with Salim Ali .
1333	none	In March 1799 Captain David Lloyd replaced Boyle , and sailed " Hyaena " for the Mediterranean on 4 March .	none	In March 1799 Captain David Lloyd replaced Boyle, and sailed " Hyaena" for the Mediterranean on March 4.	In March 1799 Captain David Lloyd didn't replace Boyle , and sailed " Hyaena " for the Mediterranean on 4 March .
1339	none	A tower was designed by Barry in 1841 , but it was never built .	none	A tower was designed by Barry in 1841, but it was never built.	A tower was designed by Barry in 1841 , but it was built .
1341	none	The station signal could be heard from Vancouver to Vancouver , British Columbia , Washington .	none	The station signal was heard from Vancouver to Vancouver, British Columbia, Washington.	The station signal couldn't be heard from Vancouver to Vancouver , British Columbia , Washington .
1342	none	Arabic Supplement is a Unicode block that encodes old letter variants used for writing non-Arabic languages , including languages of Pakistan and Africa , and Arabic Persian .	none	Arabic Supplement is a Unicode block that encodes old letter variants for writing non-Arab languages, including languages of Pakistan and Africa, and Arabic Persian.	Arabic Supplement is not a Unicode block that encodes old letter variants used for writing non-Arabic languages , including languages of Pakistan and Africa , and Arabic Persian .
1343	none	The dam is operated by the United States Bureau of Reclamation , which has built it , and is owned by the Elephant Butte Irrigation District .	none	The dam is operated by the United States Bureau of Reclamation, which built it, and is owned by the Elephant Butte Irrigation District.	The dam is not operated by the United States Bureau of Reclamation , which has built it , and is owned by the Elephant Butte Irrigation District .
1344	none	Temuka was a parliamentary electorate in the Canterbury region of New Zealand from 1911 to 1946 . The electorate was represented by four Members of Parliament .	none	From 1911 to 1946, Temuka was a parliamentary electorate in the Canterbury region of New Zealand. The electorate was represented by four members of parliament.	Temuka was not a parliamentary electorate in the Canterbury region of New Zealand from 1911 to 1946 . The electorate was represented by four Members of Parliament .
1353	none	Cunningham Elementary School was recognized in 2003 by Governor Jim McGreevey as one of 25 schools selected nationwide for the first annual governor of the School of Excellence Award .	none	Cunningham Primary School was selected in 2003 by Governor Jim McGreevey as one of 25 schools nationwide for the first annual Governor of the School of Excellence Award.	Cunningham Elementary School was not recognized in 2003 by Governor Jim McGreevey as one of 25 schools selected nationwide for the first annual governor of the School of Excellence Award .
1359	none	Yarde sometimes improvised , often while listening to jazz .	none	Yarde sometimes improvised jazz, often while listening.	Yarde sometimes didn't improvise , often while listening to jazz .
1360	none	Steve Reicher ( Stephen D Reicher ) is a Professor of Social Psychology and former Head of the School of Psychology at the University of St Andrews .	none	Steve Reicher (Stephan D Reicher) is a professor of social psychology and former head of the Faculty of Psychology at the University of St. Andrews.	Steve Reicher ( Stephen D Reicher ) is not a Professor of Social Psychology and former Head of the School of Psychology at the University of St Andrews .
1362	none	In the ninth century BC it became part of Assyria and remained so until the late seventh century BC .	none	In the ninth century BC it became part of Assyria and remained so until the late seventh century BC.	In the ninth century BC it didn't become part of Assyria and remained so until the late seventh century BC .
1363	none	In 1236 , Magnus , the son of Gille Brigte , Mormaer of Angus , was awarded the Jarldom of Orkney by King Haakon Haakonsson .	none	In 1236, Magnus, the son of Gille Brigte, Mormaer of Angus, received the Jarldom of Orkney from King Haakon Haakonsson.	In 1236 , Magnus , the son of Gille Brigte , Mormaer of Angus , was not awarded the Jarldom of Orkney by King Haakon Haakonsson .
1364	none	Jalajala is politically subdivided into eleven barangays ( three rural , eight urban ) .	none	Jalajala is politically subdivided into eleven barangays (three rural, eight urban).	Jalajala is politically not subdivided into eleven barangays ( three rural , eight urban ) .
1369	none	Following the Allies ' May 1945 victory , the Soviets effectively occupied Central and Eastern Europe , while strong US and Western allied forces remained in Western Europe .	none	After the Allied victory in May 1945, the Soviets effectively occupied Central and Eastern Europe, while strong US and Western allies remained in Western Europe.	Following the Allies ' May 1945 victory , the Soviets effectively didn't occupy Central and Eastern Europe , while strong US and Western allied forces remained in Western Europe .
1372	none	Roger Kirk was born in Norfolk and brought up and trained in East London .	none	Roger Kirk was born in Norfolk and grew up in East London.	Roger Kirk was not born in Norfolk and brought up and trained in East London .
1373	none	The Argintărie River is a tributary of the Ciunget River in Romania .	none	The Argintărie is a tributary of the Ciunget River in Romania.	The Argintărie River is not a tributary of the Ciunget River in Romania .
1374	none	This was more common in urban Australia , but has been common for decades in regional Australia and southern Australia .	none	This was more common in urban Australia, but has been common in regional Australia and South Australia for decades.	This was not more common in urban Australia , but has been common for decades in regional Australia and southern Australia .
1375	none	Ferguson had two sisters ( one older and one younger ) and one younger brother .	none	Ferguson had two sisters (an older and a younger) and a younger brother.	Ferguson didn't have two sisters ( one older and one younger ) and one younger brother .
