2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The NBA season of 1975 -- seventy-six was the 30th season of the National Basketball Association .	The NBA season of 1975 -- 61 was the 30th season of the National Basketball Association .
5684	none	The park is 65 km west of Fianarantsoa and 139 km northeast of Mananjary in the regions of Haute Matsiatra and Vatovavy-Fitovinany .	none	The park is sixty-five km west of Fianarantsoa and one hundred and thirty-nine km northeast of Mananjary in the regions of Haute Matsiatra and Vatovavy-Fitovinany .	The park is 51 km west of Fianarantsoa and 396 km northeast of Mananjary in the regions of Haute Matsiatra and Vatovavy-Fitovinany .
5717	none	According to the United States Census Bureau , Harmony Township has a total area of which land is and , or 5.21 % , is water .	none	According to the United States Census Bureau , Harmony Township has a total area of which land is and , or five point two one percent , is water .	According to the United States Census Bureau , Harmony Township has a total area of which land is and , or 7.87 % , is water .
5809	none	It received a smoother layout with more material -- the second edition under Grier was 48 pages .	none	It received a smoother layout with more material -- the second edition under Grier was forty-eight pages .	It received a smoother layout with more material -- the second edition under Grier was 65 pages .
5818	none	She is painted red with yellow lining and has painted the number 22 in red on her pages .	none	She is painted red with yellow lining and has painted the number twenty-two in red on her pages .	She is painted red with yellow lining and has painted the number 98 in red on her pages .
5832	none	US 9 heads to the Cape May Lewes Ferry , which leads across the Delaware Bay to Lewes , Delaware .	none	US nine heads to the Cape May Lewes Ferry , which leads across the Delaware Bay to Lewes , Delaware .	US 4 heads to the Cape May Lewes Ferry , which leads across the Delaware Bay to Lewes , Delaware .
5841	none	Nicklas Kulti defeated Michael Stich 6 -- 3 , 1 -- 6 , 6 -- 2	none	Nicklas Kulti defeated Michael Stich six -- three , one -- six , six -- two	Nicklas Kulti defeated Michael Stich 7 -- 4 , 3 -- 4 , 7 -- 6
5862	none	From 1800 -- 04 Wright was British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .	none	From 1800 -- four Wright was British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .	From 1800 -- 68 Wright was British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .
5897	none	Michael van Gerwen lost the first three sets of his quarterfinal against Webster within 20 minutes and was also 4 -- 1 down .	none	Michael van Gerwen lost the first three sets of his quarterfinal against Webster within twenty minutes and was also four -- one down .	Michael van Gerwen lost the first three sets of his quarterfinal against Webster within 36 minutes and was also 6 -- 6 down .
5901	none	Stony Creek 's water is the hardest water in the Nescopeck Creek watershed , with a concentration of over 100 milligrams per liter of dissolved minerals .	none	Stony Creek 's water is the hardest water in the Nescopeck Creek watershed , with a concentration of over one hundred milligrams per liter of dissolved minerals .	Stony Creek 's water is the hardest water in the Nescopeck Creek watershed , with a concentration of over 147 milligrams per liter of dissolved minerals .
5910	none	Nikolai Myaskovsky wrote his Symphony No . 9 in E minor , Op . 28 , between 1926 and 1927 . It was dedicated to Nikolai Malko .	none	Nikolai Myaskovsky wrote his Symphony No . nine in E minor , Op . twenty-eight , between 1926 and 1927 . It was dedicated to Nikolai Malko .	Nikolai Myaskovsky wrote his Symphony No . 1 in E minor , Op . 42 , between 1926 and 1927 . It was dedicated to Nikolai Malko .
5979	none	Bandelin is approximately 15 km south of Greifswald and about 3 km northwest of Gützkow .	none	Bandelin is approximately fifteen km south of Greifswald and about three km northwest of Gützkow .	Bandelin is approximately 76 km south of Greifswald and about 8 km northwest of Gützkow .
5999	none	A public elementary school was built in 1850 in the hamlet of Stain and built in 1858 for 100 children . The Wesleyans expanded a school in 1875 .	none	A public elementary school was built in 1850 in the hamlet of Stain and built in 1858 for one hundred children . The Wesleyans expanded a school in 1875 .	A public elementary school was built in 1850 in the hamlet of Stain and built in 1858 for 439 children . The Wesleyans expanded a school in 1875 .
6031	none	After entering Trigg County , it then meets Interstate 24 ( I-24 ) at the point , where Caldwell County intersects with Caldwell and Lyon counties .	none	After entering Trigg County , it then meets Interstate twenty-four ( I-24 ) at the point , where Caldwell County intersects with Caldwell and Lyon counties .	After entering Trigg County , it then meets Interstate 12 ( I-24 ) at the point , where Caldwell County intersects with Caldwell and Lyon counties .
6056	none	According to the United States Census Bureau , Masontown has a total area of which land is and , or 2.10 % , is water .	none	According to the United States Census Bureau , Masontown has a total area of which land is and , or two point one percent , is water .	According to the United States Census Bureau , Masontown has a total area of which land is and , or 1.12 % , is water .
6073	none	Malek Jaziri won the title and beat Mischa Zverev 4 -- 6 , 6 -- 3 , 6 -- 3 in the final .	none	Malek Jaziri won the title and beat Mischa Zverev four -- six , six -- three , six -- three in the final .	Malek Jaziri won the title and beat Mischa Zverev 1 -- 7 , 5 -- 9 , 7 -- 2 in the final .
6074	none	Hangars 1 -- 4 were built on the south side of the administration building , while hangars 5 -- 8 were built on the north side .	none	Hangars one -- four were built on the south side of the administration building , while hangars five -- eight were built on the north side .	Hangars 6 -- 3 were built on the south side of the administration building , while hangars 9 -- 9 were built on the north side .
6109	none	Ricky Ray completed 22 of 32 passage attempts for 301 Yards Anthony Calvillo was 22 for 37 for 371 Yards .	none	Ricky Ray completed twenty-two of thirty-two passage attempts for three hundred and one Yards Anthony Calvillo was twenty-two for thirty-seven for three hundred and seventy-one Yards .	Ricky Ray completed 41 of 93 passage attempts for 958 Yards Anthony Calvillo was 74 for 35 for 643 Yards .
6112	none	Narayangad is a hill fort near Pune , located 80 km from Pune , 8 km from Narayangaon and 5 km from Khodad village .	none	Narayangad is a hill fort near Pune , located eighty km from Pune , eight km from Narayangaon and five km from Khodad village .	Narayangad is a hill fort near Pune , located 52 km from Pune , 6 km from Narayangaon and 6 km from Khodad village .
6133	none	The Riemann Zeta function is defined for complex " s " with real part greater than 1 by the absolutely convergent infinite row defined .	none	The Riemann Zeta function is defined for complex " s " with real part greater than one by the absolutely convergent infinite row defined .	The Riemann Zeta function is defined for complex " s " with real part greater than 9 by the absolutely convergent infinite row defined .
6149	none	Week 1 : The teams have to move from Santa Barbara , California to Venice Beach , California .	none	Week one : The teams have to move from Santa Barbara , California to Venice Beach , California .	Week 4 : The teams have to move from Santa Barbara , California to Venice Beach , California .
6157	none	The game created a 32 - digit unique password after successful completion of a level that was also the player name alphanumeric to allow for a later resumption .	none	The game created a thirty-two - digit unique password after successful completion of a level that was also the player name alphanumeric to allow for a later resumption .	The game created a 57 - digit unique password after successful completion of a level that was also the player name alphanumeric to allow for a later resumption .
6215	none	Construction of the new stadium was held for 4 years and on 21 August , 1974 were inaugurated .	none	Construction of the new stadium was held for four years and on 21 August , 1974 were inaugurated .	Construction of the new stadium was held for 7 years and on 21 August , 1974 were inaugurated .
6252	none	Plymouth is situated on Albemarle Sound about seven miles ( 11 km ) upstream from its mouth into the Roanoke River in the North Carolina Inner Banks region .	none	Plymouth is situated on Albemarle Sound about seven miles ( eleven km ) upstream from its mouth into the Roanoke River in the North Carolina Inner Banks region .	Plymouth is situated on Albemarle Sound about seven miles ( 61 km ) upstream from its mouth into the Roanoke River in the North Carolina Inner Banks region .
6269	none	The fumarate hydratase gene , located on the long arm of chromosome 1 ( 1q42.3-43 ) , has 22 kilobases and spans 10 exons .	none	The fumarate hydratase gene , located on the long arm of chromosome one ( 1q42.3-43 ) , has twenty-two kilobases and spans ten exons .	The fumarate hydratase gene , located on the long arm of chromosome 8 ( 1q42.3-43 ) , has 12 kilobases and spans 47 exons .
