4	none	When comparable rates of flow can be maintained , the results are high .	none	If comparable flow rates can be maintained, the results are high.	When comparable rates of flow can be based , the results are high .
2078	none	In the 2015 regional elections , after Tosi was excluded by the Federal Party , Gidoni was elected to the Veneto Regional Council in the province of Belluno .	none	In the 2015 regional elections, after Tosi was expelled from the Federal Party, Gidoni was elected to the Regional Council of Veneto in the province of Belluno.	In the 2015 regional elections , after Tosi was opened by the Federal Party , Gidoni was elected to the Veneto Regional Council in the province of Belluno .
2093	none	Jérémy Chardy won the title and struck Rubén Ramírez Hidalgo in the Final 6 -- 1 , 6 -- 4 .	none	Jérémy Chardy won the title and beat Rubén Ramírez Hidalgo in the final 6 - 1, 6 - 4.	Jérémy Chardy carried the title and struck Rubén Ramírez Hidalgo in the Final 6 -- 1 , 6 -- 4 .
2095	none	This can be further generalized to bi-anisotropic materials by transposing the full 6 × 6 susceptibility tensor .	none	This can be further generalized to bi-anisotropic materials by transposing the full 6 × 6 sensitivity tensor.	This can be further announced to bi-anisotropic materials by transposing the full 6 × 6 susceptibility tensor .
2105	none	Needs are also developed according to the existential categories of being , having , doing and interacting , and from these dimensions a 36 - cells - matrix is defined .	none	The needs are also developed according to the existential categories of being, have, do and interact, and from these dimensions a 36 - cell matrix is defined.	Needs are also framed according to the existential categories of being , having , doing and interacting , and from these dimensions a 36 - cells - matrix is defined .
2108	none	In addition to strictly modern scientific work , de Broglie thought and wrote about the philosophy of science , including the value of scientific discoveries .	none	In addition to strictly modern scientific work, de Broglie thought and wrote about the philosophy of science, including the value of scientific discoveries.	In addition to strictly modern scientific work , de Broglie thought and believed about the philosophy of science , including the value of scientific discoveries .
2109	none	Former AFL players Tarkyn Lockyer ( Collingwood ) and Ryan Brabazon ( Sydney ) , Jason Mandzij ( Gold Coast ) started their football careers playing for the Kangas .	none	Former AFL players Tarkyn Lockyer ( Collingwood) and Ryan Brabazon ( Sydney), Jason Mandzij ( Gold Coast) began their football career playing for the Kangas.	Former AFL players Tarkyn Lockyer ( Collingwood ) and Ryan Brabazon ( Sydney ) , Jason Mandzij ( Gold Coast ) come their football careers playing for the Kangas .
2112	none	He joined the Canadian Fencibles in Scotland in 1803 and came to Quebec with them in 1805 .	none	In 1803 he joined the Canadian Fencibles in Scotland and came with them to Quebec in 1805.	He blazed the Canadian Fencibles in Scotland in 1803 and came to Quebec with them in 1805 .
2114	none	InFocus M810 is a smartphone marketed by InFocus and manufactured by Foxconn . It was released on July 31 , 2014 .	none	InFocus M810 is a smartphone marketed by InFocus and manufactured by Foxconn. It was released on July 31, 2014.	InFocus M810 is a smartphone unveiled by InFocus and manufactured by Foxconn . It was released on July 31 , 2014 .
2116	none	In addition to the generic information described above , military applications include weapons system and sensor data such as :	none	In addition to the general information described above, military applications include weapon system and sensor data such as:	In addition to the generic information challenged above , military applications include weapons system and sensor data such as :
2117	none	In Europe he appeared in Le Lido in Paris and sang with Betty Grable in the London West End Musical " Belle Starr " .	none	In Europe he performed in Le Lido in Paris and sang with Betty Grable in London's West End Musical "Belle Starr".	In Europe he founded in Le Lido in Paris and sang with Betty Grable in the London West End Musical `` Belle Starr `` .
2118	none	David Tatuashvili , another Georgian partisan of Soviet origin , described the funeral as follows :	none	David Tatuashvili, another Georgian partisan of Soviet origin, described the funeral as follows:	David Tatuashvili , another Georgian partisan of Soviet origin , graduated the funeral as follows :
2119	none	With Apex Marketing , Dracco Company Ltd. created the basic version of the game and established the online universe of Chaotic .	none	With Apex Marketing, Dracco Company Ltd. created the basic version of the game and established the online universe of Chaotic.	With Apex Marketing , Dracco Company Ltd. attracted the basic version of the game and established the online universe of Chaotic .
2120	none	The last album was recorded with bassist Nina Souto and drummer Arturo Garcia .	none	The last album was recorded with bassist Nina Souto and drummer Arturo Garcia.	The last album was continued with bassist Nina Souto and drummer Arturo Garcia .
2130	none	Jacky Jasper and Marc Live joined forces with Kool Keith to release two albums as KHM .	none	Jacky Jasper and Marc Live joined forces with Kool Keith to release two albums as KHM.	Jacky Jasper and Marc Live withdrew forces with Kool Keith to release two albums as KHM .
2131	none	Here gathers mcen 092.2 you have spoken very clearly and you have not accused .	none	Here mcen collects 092.2 you have spoken very clearly and you have not accused.	Here gathers mcen 092.2 you have targeted very clearly and you have not accused .
2132	none	Initials can be placed either before or after their first name when they are used .	none	Initials can be placed either before or after their first name when used.	Initials can be passed either before or after their first name when they are used .
2133	none	Ruhollah Khomeini was appointed Chief Public Prosecutor of the Special Court for the Clergy in 1987 by Fallahian and led the trial of Mehdi Hashemi .	none	Ruhollah Khomeini was appointed Chief Prosecutor of the Special Court for the Clergy by Fallahian in 1987 and led the trial against Mehdi Hashemi.	Ruhollah Khomeini was improved Chief Public Prosecutor of the Special Court for the Clergy in 1987 by Fallahian and led the trial of Mehdi Hashemi .
2134	none	When water and sewer companies were privatised in England and Wales in 1989 , these services remained public in Northern Ireland and in Scotland .	none	When water and wastewater companies were privatised in England and Wales in 1989, these services remained public in Northern Ireland and Scotland.	When water and sewer companies were put in England and Wales in 1989 , these services remained public in Northern Ireland and in Scotland .
2139	none	The group was founded in Las Vegas , and later relocated to Los Angeles .	none	The group was founded in Las Vegas and later moved to Los Angeles.	The group was moved in Las Vegas , and later relocated to Los Angeles .
2146	none	They can be used not only in predicative role ( as in the above examples ) , but also in attributive role :	none	They can be used not only in predictive role (as in the above examples ), but also in the supporting role :	They can be devoted not only in predicative role ( as in the above examples ) , but also in attributive role :
2152	none	This tour was made two weeks after the Australia tour of New Zealand . The Wallabies lost the only test with the All Blacks .	none	This tour was made two weeks after the Australia tour of New Zealand. The Wallabies lost the only test with the All Blacks.	This tour was slaughtered two weeks after the Australia tour of New Zealand . The Wallabies lost the only test with the All Blacks .
2153	none	The Eastern Province comprises the former provinces of Kibungo and Umutara , most of Kigali Rural , and part of Byumba .	none	The eastern province includes the former provinces of Kibungo and Umutara, most of Kigali Rural, and part of Byumba.	The Eastern Province encourages the former provinces of Kibungo and Umutara , most of Kigali Rural , and part of Byumba .
